vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
1,Hailie Deegan,Ford,21,21,2,2,1904.473,1963.098,58.625,1939.3642,1960.6962,21.3319,34.8912,2.4017,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
99,Ben Rhodes,Toyota,21,21,2,2,1905.871,1963.248,57.3769,1925.046,1945.5285,20.4825,19.175,17.7194,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
45,Lawless Alan #,Chevrolet,21,21,2,2,1909.992,1971.323,61.331,1926.1373,1949.2784,23.141,16.1453,22.0445,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
44,Kris Wright,Chevrolet,21,21,2,2,1921.908,2012.921,91.013,1955.1918,1991.938,36.7462,33.2838,20.9829,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
91,Colby Howard,Chevrolet,21,21,2,2,1908.993,1966.245,57.2519,1927.397,1946.8456,19.4485,18.404,19.3993,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
02,Kaz Grala,Chevrolet,21,21,2,2,1907.563,1967.122,59.5589,1928.0644,1950.6613,22.5969,20.5014,16.4606,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
62,Todd Bodine,Toyota,21,21,2,2,1915.532,1971.923,56.391,1927.9963,1947.0493,19.0529,12.4643,24.8736,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
4,John Hunter Nemechek,Toyota,21,21,2,2,1899.934,1958.83,58.8959,1927.7641,1949.4921,21.728,27.8301,9.3378,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
75,Parker Kligerman,Chevrolet,21,21,2,2,1900.87,1962.025,61.155,1922.4409,1946.1153,23.6743,21.5709,15.9096,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
15,Tanner Gray,Ford,21,21,2,2,1916.829,1970.693,53.864,1931.1299,1948.5913,17.4613,14.3009,22.1016,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
66,Ty Majeski,Toyota,21,21,2,2,1898.942,1954.715,55.7729,1929.7326,1948.0292,18.2965,30.7906,6.6857,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
19,Derek Kraus,Chevrolet,21,21,2,2,1902.257,1963.52,61.2629,1931.768,1955.2241,23.4561,29.511,8.2958,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
61,Chase Purdy,Toyota,21,21,2,2,1913.25,1973.404,60.154,1932.4717,1954.3081,21.8363,19.2217,19.0958,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
18,Chandler Smith,Toyota,21,21,2,2,1906.791,1970.642,63.851,1932.8163,1960.1846,27.3682,26.0253,10.4573,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
30,Josh Bilicki(i),Toyota,21,21,2,2,1908.348,1964.419,56.071,1936.8079,1956.7102,19.9023,28.4599,7.7087,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
23,Grant Enfinger,Chevrolet,21,21,2,2,1900.427,1956.519,56.092,1934.8043,1952.7884,17.9841,34.3773,3.7305,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
56,Timmy Hill,Toyota,21,21,2,2,1911.487,1979.072,67.5849,1938.3411,1968.8376,30.4964,26.8541,10.2343,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
38,Zane Smith,Ford,21,21,2,2,1903,2000.705,97.7049,1935.5015,1995.6976,60.196,32.5015,5.0073,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
9,Blaine Perkins #,Chevrolet,21,21,2,2,1917.643,1977.475,59.8319,1943.9348,1966.927,22.9921,26.2918,10.5479,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
40,Dean Thompson #,Chevrolet,21,21,2,2,1916.081,1978.471,62.39,1947.6511,1973.4089,25.7578,31.5701,5.062,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
42,Carson Hocevar,Chevrolet,23,21,2,2,2102.726,2168.259,65.5329,2115.3899,2143.5321,28.1422,12.6639,24.7268,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5229
17,Harrison Burton(i),Ford,23,22,2,2,2136.314,2242.6909,106.3769,2168.0105,2236.6431,68.6325,31.6965,6.0478,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5229
88,Matt Crafton,Toyota,21,21,2,2,1914.979,2056.056,141.077,1944.0476,2046.8159,102.7683,29.0686,9.24,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
33,Jade Buford(i),Toyota,21,21,2,2,1924.102,2035.463,111.3609,1959.7963,2032.4854,72.6891,35.6943,2.9775,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
17,Harrison Burton(i),Ford,21,21,2,2,1924.932,2062.8359,137.9039,1958.5951,2056.5601,97.9649,33.6631,6.2758,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5229
