race_id,series_id,race_season,rr_id
5295,1,2023,24
5298,1,2023,25
5299,1,2023,26
5300,1,2023,27
5301,1,2023,28
5302,1,2023,29
5303,1,2023,30
5304,1,2023,31
5305,1,2023,32
5306,1,2023,33
5307,1,2023,34
5308,1,2023,35
5309,1,2023,36
5310,2,2023,01
5311,2,2023,02
5312,2,2023,03
5313,2,2023,04
5314,2,2023,05
5315,2,2023,06
5316,2,2023,07
5317,2,2023,08
5318,2,2023,09
5319,2,2023,10
5320,2,2023,11
5322,2,2023,12
5323,2,2023,13
5321,2,2023,14
5324,2,2023,15
5337,2,2023,16
5326,2,2023,17
5327,2,2023,18
5328,2,2023,19
5325,2,2023,20
5330,2,2023,21
5329,2,2023,22
5331,2,2023,23
5332,2,2023,24
5333,2,2023,25
5334,2,2023,26
5335,2,2023,27
5336,2,2023,28
5338,2,2023,29
5339,2,2023,30
5340,2,2023,31
5341,2,2023,32
5342,2,2023,33
5343,3,2023,01
5344,3,2023,02
5345,3,2023,03
5346,3,2023,04
5355,3,2023,05
5348,3,2023,06
5347,3,2023,07
5354,3,2023,08
5353,3,2023,09
5359,3,2023,10
5356,3,2023,11
5357,3,2023,12
5364,3,2023,13
5365,3,2023,14
5366,3,2023,15
5368,3,2023,16
5367,3,2023,17
5358,3,2023,18
5369,3,2023,19
5370,3,2023,20
5371,3,2023,21
5372,3,2023,22
5373,3,2023,23
