race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,pole_winner_laptime,short_name
4800,1,2019,Big Machine Vodka 400 at the Brickyard Powered By Florida Georgia Line,1,FALSE,123,Indianapolis Motor Speedway,2019-09-08T14:00:00,2019-09-08T14:00:00,2019-09-08T14:00:00,400,400,160,160,50,50,60,40,1416,185.766,14,8,9,48,119.443,3:20:06,6.118,0,"Kevin Harvick won the Big Machine Vodka 400 at the Brickyard presented by Florida Georgia Line at Indianapolis Motor Speedway. His 48th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 11 (backup car). ",0,IMS,NBC,1716,TRUE,NA,Indy
4801,1,2019,South Point 400,1,FALSE,42,Las Vegas Motor Speedway,2019-09-15T19:00:00,2019-09-15T16:00:00,2019-09-15T14:11:00,400,400.5,267,267,80,80,107,39,339,178.926,24,14,4,22,142.555,2:48:34,4.173,0,"Martin Truex Jr. won the second annual South Point 400, his 24th career Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear under penalty for the reasons indicated: No. 36 and 37(unapproved adjustments) and No. 77 (transmission change).",0,PRN,NBCSN,4705,TRUE,NA,Las Vegas
4802,1,2019,Federated Auto Parts 400,1,FALSE,26,Richmond Raceway,2019-09-21T19:30:00,2019-09-21T19:30:00,2019-09-21T19:30:00,300,300,400,400,100,100,200,38,1816,127.185,6,3,5,32,101.437,2:57:27,2.630,0,"Martin Truex Jr. won the Federated Auto Parts 400 at Richmond Raceway, his 25th Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #27 (unapproved adjustments), #43, 52 (failed post-qualifying inspection).",0,MRN,NBCSN,1544,TRUE,NA,Richmond
4803,1,2019,Bank of America ROVAL 400,1,FALSE,210,Charlotte Motor Speedway Road Course,2019-09-29T14:30:00,2019-09-29T14:30:00,2019-09-29T14:30:00,252.8,0,109,109,25,25,59,40,4184,103.198,13,9,10,23,75.499,3:20:58,3.024,0,"Chase Elliott won the Bank of America ROVAL 400 at the Charlotte Motor Speedway Road Course. His sixth victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 11, 88, 96 (Backup Cars), No. 19 (Engine Change), No. 51 (Driver Change), No. 00 (Unapproved Adjustments).",0,PRN,NBC,4707,TRUE,NA,ROVAL
4804,1,2019,Drydene 400,1,FALSE,103,Dover International Speedway,2019-10-06T14:30:00,2019-10-06T14:30:00,2019-10-06T14:30:00,400,400,400,400,120,120,160,38,1361,166.984,14,9,3,17,135.734,02:56:49,1.578,0,"Kyle Larson won the Drydene 400 at Dover International Speedway, his sixth victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, no vehicles dropped to the rear of the field under penalty.",0,MRN,NBCSN,1038,TRUE,NA,Dover
4805,1,2019,1000Bulbs.com 500,1,TRUE,82,Talladega Superspeedway,2019-10-13T14:00:00,2019-10-13T13:00:00,2019-10-13T13:00:00,500.08,500.08,188,188,55,55,78,40,4062,192.707,46,19,9,43,136.644,3:39:35,0.007,0,"Ryan Blaney won the 51st annual 1000Bulbs.com 500 at Talladega Superspeedway, his third career Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following car dropped to the rear of the field under penalty for the reason indicated: No. 11 (engine change).",0,MRN,NBC,937,TRUE,NA,Talladega
4806,1,2019,Hollywood Casino 400,1,FALSE,41,Kansas Speedway,2019-10-20T14:30:00,2019-10-20T13:30:00,2019-10-20T13:30:00,400.5,415.5,267,277,80,80,117,40,4093,178.047,15,12,7,32,136.491,3:02:39,.128,0,"Denny Hamlin won the 19th annual Hollywood Casino 400 at Kansas Speedway. His 36th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: #51 (Unapproved Adjustments). ",0,MRN,NBC,1950,TRUE,NA,Kansas
4807,1,2019,First Data 500,1,FALSE,22,Martinsville Speedway,2019-10-27T15:00:00,2019-10-27T15:00:00,2019-10-27T15:00:00,263,263,500,500,130,130,240,38,1361,97.84,3,3,11,69,75.448,3:29:09,0.373,0,"Martin Truex Jr. won the 71st Annual First Data 500, his 26th victory in 510 Monster Energy Cup Series races. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 6 (failed post-qualifying inspection), No. 9 (engine change), No. 32 (failed post-qualifying inspection), No. 51 (failed post-qualifying inspection) and No. 77 (failed post-qualifying inspection).",0,MRN,NBCSN,6,TRUE,NA,Martinsville
4808,1,2019,AAA Texas 500,1,FALSE,43,Texas Motor Speedway,2019-11-03T15:00:00,2019-11-03T14:00:00,2019-11-03T14:00:00,501,501,334,334,85,85,164,40,1416,189.707,26,11,11,56,133.759,3:44:44,1.594,0,"Kevin Harvick won the 15th annual AAA Texas 500 at Texas Motor Speedway, his 49th career Monster Energy NASCAR Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field under penalty.",0,PRN,NBCSN,2100,TRUE,NA,Texas
4809,1,2019,Bluegreen Vacations 500,1,FALSE,84,ISM Raceway,2019-11-10T14:30:00,2019-11-10T12:30:00,2019-11-10T12:30:00,312,312,312,312,75,75,162,39,454,140.116,8,5,5,32,111.429,2:48:00,.377,0,"Denny Hamlin won the 32nd annual Bluegreen Vacations 500 at ISM Raceway. His 37th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty.",0,MRN,NBC,1550,TRUE,NA,Phoenix
4810,1,2019,Ford EcoBoost 400,1,FALSE,40,Homestead-Miami Speedway,2019-11-17T15:00:00,2019-11-17T15:00:00,1900-01-01T00:00:00,400.5,400.5,267,267,80,80,107,40,0,0,14,5,3,15,142.654,2:48:47,4.578,0,"Kyle Busch won the 21st annual Ford EcoBoost 400 at Homestead-Miami Speedway. His 56th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty. ",0,MRN,NBC,1887,TRUE,NA,Homestead
